тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Город;95854;1974;43;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;13;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;30000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;84;182;74;3;Да
Город;239800;1984;33;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;21;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;30000;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;53;162;66;2;Да
Областной центр;12325387;1965;52;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;4;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;35000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;62;171;73;4;Да
ПГТ;3500;1987;29;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;36900;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;79;184;73;5;Да
Село;964;1967;50;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;8;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;40000;Нет;Скорее удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Часто;75;180;56;1;Нет
Город;61982;1991;26;10 и более классов школы и какое-либо професс. обр. с дипломом;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;20;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;50000;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;172;63;1;Да
Областной центр;12325387;1973;44;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;10;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;300000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;176;78;1;Нет
Село;455;1948;68;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;25;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;7500;Да;Полностью удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;66;160;63;4;Нет
Село;28;1963;54;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;20;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;8000;Нет;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ;80;176;54;5;Да
Село;1753;1987;30;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;30;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;10000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;60;167;62;2;Да
Город;111843;1992;25;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;9;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО;12000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;52;150;63;4;Да
ПГТ;7387;1976;41;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;17;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;13000;Нет;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;;176;72;3;Да
Город;26830;1965;52;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;29;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;13000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;82;166;69;4;Да
Областной центр;12325387;1974;43;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;21;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;15000;Нет;И да, и нет;11;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;92;182;77;1;Да
Город;26830;1967;49;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;27;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;17000;Нет;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;79;172;62;2;Нет
Город;95854;1982;35;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО;20000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;100;180;63;5;Да
Областной центр;501169;1951;65;9 классов школы;Живете вместе, но не зарегистрированы;МУЖСКОЙ;8;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;20000;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;90;165;70;3;Да
Город;72153;1963;54;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;30;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;20000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;100;190;63;1;Да
Областной центр;12325387;1996;21;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Октябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;25000;Нет;Не очень удовлетворены;9;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;67;165;55;3;Да
Село;2000;1958;59;среднее образование - есть аттестат о ср. образовании;Bдовец (вдова);ЖЕНСКИЙ;17;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;25000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Часто;110;167;66;4;Нет
Областной центр;1143535;1980;37;3 и более лет в высшем учебном заведении;Живете вместе, но не зарегистрированы;МУЖСКОЙ;3;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;25000;Нет;Не очень удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;85;188;80;1;Нет
Областной центр;973826;1980;37;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;8;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;25000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;95;190;68;5;Да
Областной центр;524669;1984;33;аспирантура и т.п. без диплома;Состоите в зарегистрированном браке;ЖЕНСКИЙ;18;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;30000;Да;И да, и нет;11;В обычной средней школе;Я НЕ РАЗБИРАЮСЬ, ВЕРЮ НЕМНОГО ВО ЧТО-ТО ВЫСШЕЕ;Нет;Практически никогда;85;180;71;1;Да
Город;64665;1968;48;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;28;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;30000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;80;159;81;5;Да
